Date,Name,Year,Letterboxd URI
2018-12-29,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2019-01-22,Manchester by the Sea,2016,https://boxd.it/b2L0
2021-04-11,La La Land,2016,https://boxd.it/a5fa
2022-10-20,Back to the Future,1985,https://boxd.it/2b8e
2023-01-05,The Fabelmans,2022,https://boxd.it/ugoM
2023-02-17,Big,1988,https://boxd.it/271S
2023-10-10,Fargo,1996,https://boxd.it/2aHM
2024-03-02,Dune: Part Two,2024,https://boxd.it/pUfA
2024-03-04,Nimona,2023,https://boxd.it/Aiyc
2024-03-08,Fallen Leaves,2023,https://boxd.it/Bgew
2024-03-08,American Fiction,2023,https://boxd.it/DYHm
2024-03-09,Past Lives,2023,https://boxd.it/oNB8
2024-03-10,Anatomy of a Fall,2023,https://boxd.it/yuDE
2024-03-11,Poor Things,2023,https://boxd.it/tNWU
2024-03-21,"Good Bye, Lenin!",2003,https://boxd.it/2ayA
2024-03-24,Stranger Than Fiction,2006,https://boxd.it/28Za
2024-03-27,Miracle Mile,1988,https://boxd.it/1x68
2024-03-30,Little Miss Sunshine,2006,https://boxd.it/29EW
2024-03-31,The Wedding Singer,1998,https://boxd.it/1USO
2024-08-20,Jaws,1975,https://boxd.it/2a5e
2024-08-27,Inside Out 2,2024,https://boxd.it/CFrC
2025-01-05,The Princess Bride,1987,https://boxd.it/26EY
2025-06-07,The Karate Kid,1984,https://boxd.it/27Wk
2025-06-16,Nick and Norah's Infinite Playlist,2008,https://boxd.it/1Slo
2025-06-20,The Terminator,1984,https://boxd.it/2aQY
2025-06-26,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY
2025-06-30,F1,2025,https://boxd.it/yjVM
2025-07-17,Superman,2025,https://boxd.it/E9IU
2025-07-22,Pulp Fiction,1994,https://boxd.it/29Pq
2025-08-05,Little Fish,2020,https://boxd.it/lAFK
2025-08-22,Inglourious Basterds,2009,https://boxd.it/1JzG
2025-09-24,Boogie Nights,1997,https://boxd.it/23um
2025-09-29,Magnolia,1999,https://boxd.it/2aze
2025-10-06,One Battle After Another,2025,https://boxd.it/DUHM
2025-10-11,There Will Be Blood,2007,https://boxd.it/20Z2
2026-07-03,Head-On,2004,https://boxd.it/2awk
2026-07-17,Flow,2024,https://boxd.it/v1Ei
2026-07-25,The Odyssey,2026,https://boxd.it/QFQU
2026-07-28,Toy Story,1995,https://boxd.it/29qA
2026-07-28,Toy Story 2,1999,https://boxd.it/29qq
2026-07-28,Toy Story 3,2010,https://boxd.it/1WRe
2026-07-28,Toy Story 4,2019,https://boxd.it/9ALu
2026-07-28,Toy Story 5,2026,https://boxd.it/F06E
2026-08-01,Spider-Man: Brand New Day,2026,https://boxd.it/ACJE
2026-08-12,Mulholland Drive,2001,https://boxd.it/297o
2026-08-13,Kung Fu Panda 2,2011,https://boxd.it/G36
2026-08-21,The End of Oak Street,2026,https://boxd.it/FF9a
2026-08-30,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2026-08-30,Arrival,2016,https://boxd.it/aNGk
