Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-01-14,ALİ,,https://boxd.it/eXEdu,

Position,Name,Year,URL,Description
1,The Big Sick,2017,https://boxd.it/eHvy,
2,You Can Count on Me,2000,https://boxd.it/1Omi,
3,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,
4,The Lighthouse,2019,https://boxd.it/icFU,
5,The Florida Project,2017,https://boxd.it/dMG0,
6,Little Miss Sunshine,2006,https://boxd.it/29EW,
7,In Bruges,2008,https://boxd.it/20n8,
8,Crumb,1994,https://boxd.it/1tDi,
9,Soul,2020,https://boxd.it/ioLA,
10,Black Swan,2010,https://boxd.it/Sw0,
11,The Last Duel,2021,https://boxd.it/mQbe,
12,Benedetta,2021,https://boxd.it/gdNQ,
13,Hellbound,2021,https://boxd.it/w40s,
14,The Trip,2021,https://boxd.it/sAfm,
15,Another Year,2010,https://boxd.it/T1C,
16,Four Lions,2010,https://boxd.it/18do,
