Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-12-24,beleş liste ,,https://boxd.it/jIpnO,

Position,Name,Year,URL,Description
1,The Trip,2021,https://boxd.it/sAfm,
2,Paul,2011,https://boxd.it/13uE,
3,Barton Fink,1991,https://boxd.it/2aFQ,
4,Dolemite Is My Name,2019,https://boxd.it/je6E,
5,Pacific Rim,2013,https://boxd.it/2cB2,
6,Mirage,2018,https://boxd.it/jeOm,
7,Uncut Gems,2019,https://boxd.it/gXGc,
8,Pain and Glory,2019,https://boxd.it/iOBQ,
9,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
10,Edge of Tomorrow,2014,https://boxd.it/4pD0,
11,Ready Player One,2018,https://boxd.it/aZes,
12,Marriage Story,2019,https://boxd.it/hJAw,
