Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-03-11,Best Motion Picture of the Year,,https://boxd.it/tOfok,

Position,Name,Year,URL,Description
1,Poor Things,2023,https://boxd.it/tNWU,
2,Anatomy of a Fall,2023,https://boxd.it/yuDE,
3,The Holdovers,2023,https://boxd.it/vHza,
4,Past Lives,2023,https://boxd.it/oNB8,
5,Oppenheimer,2023,https://boxd.it/wUow,
6,Killers of the Flower Moon,2023,https://boxd.it/gHp0,
7,American Fiction,2023,https://boxd.it/DYHm,
8,Barbie,2023,https://boxd.it/bCLK,
9,The Zone of Interest,2023,https://boxd.it/gJsA,
10,Maestro,2023,https://boxd.it/j0DE,
