Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-03-29,Burak,,https://boxd.it/56xdA,

Position,Name,Year,URL,Description
1,Breaking the Waves,1996,https://boxd.it/2b1W,
2,Dancer in the Dark,2000,https://boxd.it/71E,
3,Dogville,2003,https://boxd.it/2a8W,
4,Antichrist,2009,https://boxd.it/1Inu,
5,The House That Jack Built,2018,https://boxd.it/dWO4,"Buraya kadar aynı yönetmenin filmleri, 80+ üstü hepsi benim için.."
6,Another Year,2010,https://boxd.it/T1C,"Durum öyküsü, komedi ve dram olarak ele alınıyor. Bu filmi seversen yönetmenin diğer iyi filmleri de yazarım."
7,Anvil! The Story of Anvil,2008,https://boxd.it/1HzO,Belgesel aslında metal müziği çok sevmeye bilirsin ama bu tarzda en iyi film-belgesel.
8,The Adventures of Tintin,2011,https://boxd.it/1Irc,Beklenen gişe başarısı olmadı ama gayet güzel bir animasyon. Türkiye de çok izleyen göremediğim için öneriyorum.
9,Four Lions,2010,https://boxd.it/18do,"Komik ve trajedik, farklı bir yapım , tavsiye ederim ama sevmeye bilirsin de belki."
10,Pacific Rim,2013,https://boxd.it/2cB2,"İzledin mi bilmiyorum ama kesinlikle izlemelisin... Dumb as fuck, but awesome as hell!"
11,Shame,2011,https://boxd.it/2CxU,
12,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,"Dram,gizem,gerilim...."
13,Elite Squad,2007,https://boxd.it/20YI,"Brezilya yapımı aksiyon filmi, çok iyi bir filmdir. 2.filmi de var..."
14,Elite Squad: The Enemy Within,2010,https://boxd.it/Jx4,İlki kadar iyi değil ama hala çok iyi bir aksiyon filmi....
15,Blue Valentine,2010,https://boxd.it/MxG,Kötü bir evliliği anlatıyor.
16,Die Hard,1988,https://boxd.it/2a7u,Aksiyon olarak belki de en iyi filmlerden biri olabilir. Bir de üstüne gerilim de eklenince ortaya bir başyapıt çıkıyor. Sanki bir ara sormuştum ama izlememiştin diye hatırlıyorum.
17,Die Hard 2,1990,https://boxd.it/28zw,İlk film kadar iyi değil olması da çok zor ama bence gayet iyi bir film...
18,Die Hard With a Vengeance,1995,https://boxd.it/28zG,Seriyi bu film ile izlemeyi bırakabilirsin. Bundan sonra gelen 2 film tamamen para tuzağı için ve iyi değiller.
19,Cloud Atlas,2012,https://boxd.it/2W60,"3 saat süren bir film. Bilim Kurgu kendisi , müzikleri güzeldir, dramda vardır içinde."
20,Mary and Max,2009,https://boxd.it/1y2m,"Güzel bir animasyon, şiddetle tavsiye ederim...."
21,Let the Right One In,2008,https://boxd.it/1Qr0,Korku filmi izlemiş olabilirsin korku türünü sevdiğin için ama bence bir başyapıt kendisiiii
22,Chop Shop,2007,https://boxd.it/1LZQ,Şuana kadar benden başka izleyen görmedim bu filmi asdlfkdsa
