Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-03-31,Comfort movies,,https://boxd.it/ungao,

Position,Name,Year,URL,Description
1,Big,1988,https://boxd.it/271S,
2,The Wedding Singer,1998,https://boxd.it/1USO,
3,Spider-Man,2002,https://boxd.it/2a8i,
4,Spider-Man 2,2004,https://boxd.it/2a88,
5,Spider-Man 3,2007,https://boxd.it/2a7Y,
6,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
7,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
8,Nick and Norah's Infinite Playlist,2008,https://boxd.it/1Slo,
9,The Karate Kid,1984,https://boxd.it/27Wk,
