Letterboxd list export v7
Date,Name,Tags,URL,Description
2019-11-07,Deniz,,https://boxd.it/4aMNi,

Position,Name,Year,URL,Description
1,Dry Summer,1963,https://boxd.it/jkI,
2,Time to Love,1965,https://boxd.it/46cu,
3,8½,1963,https://boxd.it/2aqm,
4,"Oslo, August 31st",2011,https://boxd.it/2xQC,
5,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
6,Breaking the Waves,1996,https://boxd.it/2b1W,
7,Midnight in Paris,2011,https://boxd.it/i4a,
8,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
9,Short Term 12,2013,https://boxd.it/5f6s,
10,A Summer's Tale,1996,https://boxd.it/183e,
11,I Stand Alone,1998,https://boxd.it/28Au,
12,Paradise: Love,2012,https://boxd.it/3wTW,
13,Tangerines,2013,https://boxd.it/71vM,
14,The Wind That Shakes the Barley,2006,https://boxd.it/293Q,
15,Mirage,2018,https://boxd.it/jeOm,
16,What We Do in the Shadows,2014,https://boxd.it/7eQy,
17,Cold War,2018,https://boxd.it/fEoc,
18,Bonjour Tristesse,1958,https://boxd.it/27OK,
19,Upgrade,2018,https://boxd.it/i4gW,
20,Flipped,2010,https://boxd.it/Tb8,
21,Wristcutters: A Love Story,2006,https://boxd.it/1QBY,
22,Frank,2014,https://boxd.it/5hII,
23,Your Name.,2016,https://boxd.it/cUqs,
24,Barbara,2012,https://boxd.it/37XY,
25,I Origins,2014,https://boxd.it/7aRM,
26,Cléo from 5 to 7,1962,https://boxd.it/2agm,
