Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-04-21,EEF,,https://boxd.it/5jn2o,

Position,Name,Year,URL,Description
1,Manchester by the Sea,2016,https://boxd.it/b2L0,
2,The Lighthouse,2019,https://boxd.it/icFU,Acayip bir film bu
3,The Two Popes,2019,https://boxd.it/k8Xk,Full Diyalogggg
4,Uncut Gems,2019,https://boxd.it/gXGc,"Yılın en iyilerinden,gerilimi baya iyiii"
5,1917,2019,https://boxd.it/jj4y,
6,Pain and Glory,2019,https://boxd.it/iOBQ,
7,Shadow of a Doubt,1943,https://boxd.it/1BtA,
8,Sleuth,1972,https://boxd.it/298c,
9,The Shop on Main Street,1965,https://boxd.it/1uSI,
10,The Cranes Are Flying,1957,https://boxd.it/169Y,
11,Wings of Desire,1987,https://boxd.it/2b26,Şahaeserrrrr
12,The King of Comedy,1982,https://boxd.it/2aJS,
13,Shoplifters,2018,https://boxd.it/ifY6,
14,Battle Royale,2000,https://boxd.it/25zS,
15,The Celebration,1998,https://boxd.it/2aCM,
16,Let the Right One In,2008,https://boxd.it/1Qr0,
17,Platoon,1986,https://boxd.it/29BS,
18,Distant,2002,https://boxd.it/1k28,
19,Barry Lyndon,1975,https://boxd.it/25A2,
20,Time to Love,1965,https://boxd.it/46cu,
21,Le Trou,1960,https://boxd.it/1nSw,
