Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-03-07,icbukey,,https://boxd.it/lBzg8,

Position,Name,Year,URL,Description
1,Wristcutters: A Love Story,2006,https://boxd.it/1QBY,önce bu film izlenmeli 
2,Soul,2020,https://boxd.it/ioLA,
3,La Belle Époque,2019,https://boxd.it/lXCE,
4,Back to the Future,1985,https://boxd.it/2b8e,
5,12:01,1993,https://boxd.it/1I3O,
6,What We Do in the Shadows,2014,https://boxd.it/7eQy,
7,Jojo Rabbit,2019,https://boxd.it/iEBG,
8,"Honey, I Shrunk the Kids",1989,https://boxd.it/1YTw,tatlı bir Disney çocuk filmi
9,Big,1988,https://boxd.it/271S,Tom Hanksin gençlik halleri kesin iyi gelecekk
10,Dumb and Dumber,1994,https://boxd.it/206m,
