Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-12-08,ilay,,https://boxd.it/qJfXi,

Position,Name,Year,URL,Description
1,Back to the Future,1985,https://boxd.it/2b8e,
2,Back to the Future Part II,1989,https://boxd.it/2aYI,
3,Back to the Future Part III,1990,https://boxd.it/2aTS,
4,Soul,2020,https://boxd.it/ioLA,
5,Inside Out,2015,https://boxd.it/4KHC,
6,Jojo Rabbit,2019,https://boxd.it/iEBG,
7,The Truman Show,1998,https://boxd.it/18U8,
8,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
9,Frequently Asked Questions About Time Travel,2009,https://boxd.it/1Au8,
