Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-04-04,Netflix,,https://boxd.it/m5O1s,

Position,Name,Year,URL,Description
1,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/dSp0,
2,Mudbound,2017,https://boxd.it/eCsu,
3,Private Life,2018,https://boxd.it/gn9Q,
4,Other People,2016,https://boxd.it/cSTi,
5,Cargo,2017,https://boxd.it/f55Y,
6,I Don't Feel at Home in This World Anymore,2017,https://boxd.it/f42u,
7,The Babysitter,2017,https://boxd.it/eP1w,
8,The Fundamentals of Caring,2016,https://boxd.it/aiai,
