Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-10-01,özel,,https://boxd.it/iuHxA,

Position,Name,Year,URL,Description
1,Short Term 12,2013,https://boxd.it/5f6s,
2,Flipped,2010,https://boxd.it/Tb8,
3,A Summer's Tale,1996,https://boxd.it/183e,
4,Paradise: Love,2012,https://boxd.it/3wTW,
5,Tangerines,2013,https://boxd.it/71vM,
6,Upgrade,2018,https://boxd.it/i4gW,
7,Bonjour Tristesse,1958,https://boxd.it/27OK,
8,Wristcutters: A Love Story,2006,https://boxd.it/1QBY,
9,Frank,2014,https://boxd.it/5hII,
