Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-07-04,Q7,,https://boxd.it/5Taam,

Position,Name,Year,URL,Description
1,The 40 Year Old Virgin,2005,https://boxd.it/21hK,Benim filmim bu :) :) :)
2,Another Year,2010,https://boxd.it/T1C,
3,Four Lions,2010,https://boxd.it/18do,
4,The Pinchcliffe Grand Prix,1975,https://boxd.it/hJe6,
5,The Goonies,1985,https://boxd.it/1YVC,
6,In Bruges,2008,https://boxd.it/20n8,
7,"South Park: Bigger, Longer & Uncut",1999,https://boxd.it/1YAO,
8,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo,
9,Anomalisa,2015,https://boxd.it/97TE,
10,Barton Fink,1991,https://boxd.it/2aFQ,
11,Big,1988,https://boxd.it/271S,
12,Carnage,2011,https://boxd.it/2peU,
13,Coming to America,1988,https://boxd.it/1Ygu,
14,Dolemite Is My Name,2019,https://boxd.it/je6E,
15,Eighth Grade,2018,https://boxd.it/hDMG,
16,Captain Fantastic,2016,https://boxd.it/b2K2,
17,Frances Ha,2012,https://boxd.it/41Xg,
18,Hot Shots!,1991,https://boxd.it/1YhC,
19,Submarine,2010,https://boxd.it/H4a,
20,Zoolander,2001,https://boxd.it/1YMA,
21,About Schmidt,2002,https://boxd.it/26mU,
22,Jumanji,1995,https://boxd.it/1ZLI,
23,Paul,2011,https://boxd.it/13uE,
24,Road Trip,2000,https://boxd.it/1Z4a,
25,School of Rock,2003,https://boxd.it/28xK,
26,Spaceballs,1987,https://boxd.it/29cy,
27,The Way Way Back,2013,https://boxd.it/4Gwq,
28,When Harry Met Sally...,1989,https://boxd.it/29W2,
