Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-04-02,Wimge(Dünyanın en güzel ve en iyi arkadaşına),,https://boxd.it/58MDW,

Position,Name,Year,URL,Description
1,Four Lions,2010,https://boxd.it/18do,
2,Anvil! The Story of Anvil,2008,https://boxd.it/1HzO,"Metal,film,belgesel sdfşls"
3,Another Year,2010,https://boxd.it/T1C,
4,Memories of Murder,2003,https://boxd.it/1TSo,
5,Team America: World Police,2004,https://boxd.it/24QS,
6,Paul,2011,https://boxd.it/13uE,
7,A Separation,2011,https://boxd.it/gvo,
8,Rabbit Hole,2010,https://boxd.it/1rsM,
9,Mommy,2014,https://boxd.it/7Uau,
10,The Celebration,1998,https://boxd.it/2aCM,
11,A Sun,2019,https://boxd.it/n3uo,
