Date,Name,Year,Letterboxd URI,Rating
2019-01-22,Manchester by the Sea,2016,https://boxd.it/b2L0,5
2019-01-22,Blood Father,2016,https://boxd.it/9Wsu,3
2019-01-22,Last Knights,2015,https://boxd.it/9SYG,1.5
2019-01-22,Wreck-It Ralph,2012,https://boxd.it/2TTS,4
2019-01-22,The Darkest Minds,2018,https://boxd.it/fRBo,2
2019-01-22,Extinction,2018,https://boxd.it/fdzM,2
2019-01-22,Wildlife,2018,https://boxd.it/eKYe,3.5
2019-01-25,Ralph Breaks the Internet,2018,https://boxd.it/edAy,3.5
2019-01-25,Airplane!,1980,https://boxd.it/29yu,4
2019-01-25,Christmas with the Kranks,2004,https://boxd.it/1PEW,1
2019-01-26,I Am Number Four,2011,https://boxd.it/MXY,3
2019-01-26,Standing Up,2013,https://boxd.it/5txs,3.5
2019-01-26,The Girl Next Door,2004,https://boxd.it/1VSq,3
2019-01-26,Wild Hogs,2007,https://boxd.it/1Uok,2.5
2019-01-26,Disturbia,2007,https://boxd.it/20rk,3.5
2019-01-28,The Trace,2011,https://boxd.it/3Hm0,3
2019-01-28,Time Freak,2018,https://boxd.it/g77a,3
2019-01-30,Jumper,2008,https://boxd.it/20ss,2.5
2019-02-02,Roma,2018,https://boxd.it/f69M,4
2019-02-04,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,3.5
2019-02-08,Flipped,2010,https://boxd.it/Tb8,3.5
2019-02-10,A Quiet Place,2018,https://boxd.it/fVJQ,4
2019-02-10,Halloween,2018,https://boxd.it/f0uE,3.5
2019-02-10,Raising Arizona,1987,https://boxd.it/2avQ,4
2019-02-12,Easy Rider,1969,https://boxd.it/29Ys,4
2019-02-12,Grown Ups,2010,https://boxd.it/169a,2.5
2019-02-14,Cold War,2018,https://boxd.it/fEoc,4
2019-02-16,Big Momma's House 2,2006,https://boxd.it/1TxA,1
2019-02-24,When Harry Met Sally...,1989,https://boxd.it/29W2,4
2019-02-27,Attack the Block,2011,https://boxd.it/hFO,3.5
2019-03-12,A.R.O.G,2008,https://boxd.it/1xGg,3.5
2019-03-12,Blind in Love,2017,https://boxd.it/h7zq,3
2019-03-19,Edge of Tomorrow,2014,https://boxd.it/4pD0,4
2019-03-19,V for Vendetta,2005,https://boxd.it/29Ik,4
2019-03-19,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,4.5
2019-03-23,Nothing to Hide,2018,https://boxd.it/hxUa,3
2019-03-23,Black Mirror: Bandersnatch,2018,https://boxd.it/kTDG,3.5
2019-03-25,Mirage,2018,https://boxd.it/jeOm,4
2019-03-26,Midnight in Paris,2011,https://boxd.it/i4a,4
2019-03-27,The Imitation Game,2014,https://boxd.it/6aig,4
2019-03-28,Hotel Transylvania,2012,https://boxd.it/2DF6,3.5
2019-04-02,Flubber,1997,https://boxd.it/1YkQ,2
2019-04-03,G.O.R.A.,2004,https://boxd.it/1sau,3.5
2019-04-04,Arif V 216,2018,https://boxd.it/g48u,3.5
2019-04-16,Coming Soon,2014,https://boxd.it/9mzu,3.5
2019-04-17,Pet Sematary,2019,https://boxd.it/4W0q,3
2019-04-19,Rosemary's Baby,1968,https://boxd.it/29zM,4
2019-04-24,Everything's Gonna Be Great,1998,https://boxd.it/2R36,4
2019-04-24,Under Construction,2003,https://boxd.it/9lc,3.5
2019-04-28,Thor: The Dark World,2013,https://boxd.it/2DqA,1.5
2019-04-28,The Silence,2019,https://boxd.it/j9UE,2
2019-04-29,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,4
2019-05-01,The Bank Job,2008,https://boxd.it/1ZL4,3.5
2019-05-01,The Mechanic,2011,https://boxd.it/1rtg,0.5
2019-05-01,Guardians of the Galaxy,2014,https://boxd.it/3VH2,4
2019-05-01,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,2
2019-05-01,Toll Booth,2011,https://boxd.it/7RU,3.5
2019-05-02,Cars 3,2017,https://boxd.it/7IPq,3
2019-05-04,Bee Movie,2007,https://boxd.it/22Vw,3
2019-05-04,Chicken Little,2005,https://boxd.it/1Xnu,2.5
2019-05-04,Stuart Little,1999,https://boxd.it/1WZW,3
2019-05-04,Stuart Little 2,2002,https://boxd.it/1UTW,2.5
2019-05-04,Stuart Little 3: Call of the Wild,2005,https://boxd.it/1lO8,2
2019-05-04,The Smurfs,2011,https://boxd.it/Zcm,1.5
2019-05-04,Wallace & Gromit: The Curse of the Were-Rabbit,2005,https://boxd.it/2ac0,4
2019-05-04,Shark Tale,2004,https://boxd.it/1VYe,2
2019-05-04,Captain America: Civil War,2016,https://boxd.it/89Ja,3.5
2019-05-06,Doctor Strange,2016,https://boxd.it/8MH8,4
2019-05-07,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,3.5
2019-05-12,Ready Player One,2018,https://boxd.it/aZes,4
2019-05-12,Thor: Ragnarok,2017,https://boxd.it/8MHi,4
2019-05-12,Avengers: Infinity War,2018,https://boxd.it/9vEe,4
2019-05-18,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/1Yeo,1.5
2019-05-18,4N1K,2017,https://boxd.it/gq82,2
2019-05-18,Bana Bir Soygun Yaz,2012,https://boxd.it/5vPI,1
2019-06-01,The Wild Soccer Bunch 6,2016,https://boxd.it/cQYK,2
2019-06-01,See You Yesterday,2019,https://boxd.it/lqnm,3
2019-06-01,Rim of the World,2019,https://boxd.it/jk4k,2
2019-06-27,The Amazing Spider-Man,2012,https://boxd.it/27PI,3
2019-08-18,The Lion King,1994,https://boxd.it/201Q,4
2019-09-02,Dark Shadows,2012,https://boxd.it/bQ2,2.5
2019-09-03,Stealing Beauty,1996,https://boxd.it/1NRu,3
2019-09-05,Tag,2018,https://boxd.it/gh7Y,2
2019-09-05,Super 8,2011,https://boxd.it/dVI,3.5
2019-09-08,Good Will Hunting,1997,https://boxd.it/2ahY,4.5
2019-09-10,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4
2019-09-11,Cléo from 5 to 7,1962,https://boxd.it/2agm,3.5
2019-09-13,Vox Lux,2018,https://boxd.it/fcFk,3.5
2019-09-13,Man Bites Dog,1992,https://boxd.it/1X7Q,3
2019-09-23,Dogtooth,2009,https://boxd.it/158K,5
2019-09-23,American History X,1998,https://boxd.it/2bdo,4.5
2019-09-23,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2019-09-27,Shaft,2019,https://boxd.it/htPq,2.5
2019-09-27,It Chapter Two,2019,https://boxd.it/h10u,3
2019-10-02,Time to Love,1965,https://boxd.it/46cu,5
2019-10-02,Lolita,1962,https://boxd.it/29Ag,4
2019-10-04,Dry Summer,1963,https://boxd.it/jkI,5
2019-10-05,Funny Games,1997,https://boxd.it/1WKM,4.5
2019-10-07,Blade Runner,1982,https://boxd.it/2bcA,4.5
2019-10-14,Gemini Man,2019,https://boxd.it/gaUu,2
2019-10-17,Losers' Club,2011,https://boxd.it/gxE,3.5
2019-10-17,Don't Breathe,2016,https://boxd.it/9yzw,2.5
2019-10-17,Evil Dead,2013,https://boxd.it/3GPq,3.5
2019-10-17,Captain Fantastic,2016,https://boxd.it/b2K2,4
2019-10-18,"Oslo, August 31st",2011,https://boxd.it/2xQC,4.5
2019-10-20,Happy End,2017,https://boxd.it/dZ2C,2.5
2019-10-29,Se7en,1995,https://boxd.it/29zs,5
2019-10-29,Deerskin,2019,https://boxd.it/lqOW,3.5
2019-11-07,I Origins,2014,https://boxd.it/7aRM,3.5
2019-11-07,Barbara,2012,https://boxd.it/37XY,3.5
2019-11-07,Frank,2014,https://boxd.it/5hII,3.5
2019-11-14,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,4
2019-11-15,Another Earth,2011,https://boxd.it/rRA,4
2019-11-17,Delicatessen,1991,https://boxd.it/29lK,4
2019-11-19,Hunt for the Wilderpeople,2016,https://boxd.it/cTgG,4
2019-11-22,Winter Sleep,2014,https://boxd.it/7Ua0,5
2019-11-28,Star Wars,1977,https://boxd.it/72s,4.5
2019-11-30,Zombieland,2009,https://boxd.it/1En6,4
2019-12-03,Parasite,2019,https://boxd.it/hTha,4.5
2019-12-09,Memories of Murder,2003,https://boxd.it/1TSo,4.5
2019-12-10,Marriage Story,2019,https://boxd.it/hJAw,4
2019-12-10,Look Who's Back,2015,https://boxd.it/akeQ,4
2019-12-12,The Host,2006,https://boxd.it/28ZY,2.5
2019-12-15,Ad Astra,2019,https://boxd.it/ePzI,3.5
2019-12-15,Adoration,2013,https://boxd.it/3JEU,2.5
2019-12-15,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0,2
2019-12-21,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,4.5
