Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-04-17,Love and Monsters,2020,https://boxd.it/1NAD0F,3.5,,"Zombieland'a çok benziyor. Ana karakter güçlü, sert biri değil, sıradan ve zayıf biri. Sanki ben gibi :) Dylan O'brien gerçekten harika bir iş çıkartıyor, karakter onun için yaratılmışşşş. Film komediyi ve aksiyonu güzel dengeliyor. İkisini de iyi yapıyor. Canavarlar bildiğiniz cool, bayıldımm. Köpek köpek ona değinmek bile istemiyorum harikaaaa.  Kesinlikle bir devam filmi istiyorum, bu dünyayı daha fazla görmek istiyorum ve bu dünyadan başka karakterleri tanımak istiyorum. 72/100


",,2021-04-16
2021-04-17,Fahrenheit 451,1966,https://boxd.it/1NF0Bx,3.5,,"Uzun zamandır izlemek için heyecanlıydım çünkü kitabına bayılmıştımmm. Ray Bradbury'in aynı isimli romanına dayanıyor ve bazı yerleri dışında akıllıca kurgulanmış. Kitapta çok sevdiğim bazı detaylar ve olaylar yoktu :/ :/ :/   François Truffaut ise görselliğinin getirdiği avantajları kullanarak, filme pek çok zekice hazırlanmış görsel ipuçları koymuş. Onları yakalayıp anlamak aşırı hoşumaaaa gittii :) Eski bir film olduğu için bazı yerlerde görsel efektler göze batıyor şuan için ama unutmayalım ki senaryo > görsel efekt lütfen... Bunu demeden duramayacağım lütfen ama lütfen kitabını okuyun.... BOOK>Movie 
 
                                                                                               73/100",,2021-04-17
2021-04-18,Sound of Metal,2019,https://boxd.it/1NGEnn,4,,"Olivia Cooke love,love,love",,2021-04-17
2021-05-01,Spring,2014,https://boxd.it/1Pyd8x,3.5,,Bazı şeyler ne olursa olsun güzel :),,2021-04-30
2021-05-02,The Iron Giant,1999,https://boxd.it/1PGeJP,4.5,,Ted Lasso'un önerdiği bir filmdi bana demişti hüngür hüngür ağlarsın ve ağladım...,,2021-05-01
2021-05-03,The Mitchells vs. the Machines,2021,https://boxd.it/1PQvTR,4,,Komik+ Yolculuk+ Aksiyon+ Değişik kafalar daha ne olsun ,,2021-05-02
2021-05-03,22 vs. Earth,2021,https://boxd.it/1Q02l7,4,,"22=Ben 

2 tane harika göndermesi olan 5dkcı müthiş bir kısa animasyon... ",,2021-05-03
2021-05-04,Days of Being Wild,1990,https://boxd.it/1Q21HZ,4,,Aşk bazen bir dakikaya sığar bazen yıllara,,2021-05-03
2021-05-07,In the Mood for Love,2000,https://boxd.it/1QsvAB,4.5,,"""O zamanlar geride kaldı. Ona ait olan hiçbir şey yok artık.""",,2021-05-06
2021-05-10,Paul,2011,https://boxd.it/1QOCmP,3.5,,"İzlemeden ölmeyin demeyeceğim ama keyifli bir 90 dakika garanti, geekler için harika bir eğlenceeee. ",,
