Date,Name,Year,Letterboxd URI
2022-04-12,Jimmy Neutron: Boy Genius,2001,https://boxd.it/1RDm
2022-04-14,The Skeleton Twins,2014,https://boxd.it/7bCS
2022-04-18,Crashing,2016,https://boxd.it/ndN6
2022-04-19,Lemonade Mouth,2011,https://boxd.it/4bG
2022-07-05,How to Be Single,2016,https://boxd.it/7GJq
2023-04-01,Rye Lane,2023,https://boxd.it/DIyy
2023-06-21,The Making of 'Bottle Rocket',2008,https://boxd.it/omuY
2023-09-12,Next Goal Wins,2023,https://boxd.it/mZTu
2023-10-03,The Boy and the Heron,2023,https://boxd.it/ipeM
2023-11-07,The Squid and the Whale,2005,https://boxd.it/1VAG
2023-12-07,Please Don't Destroy: The Treasure of Foggy Mountain,2023,https://boxd.it/BSZg
2023-12-11,The Plague Dogs,1982,https://boxd.it/1m38
2023-12-18,Seeking a Friend for the End of the World,2012,https://boxd.it/376g
2023-12-18,The Red Balloon,1956,https://boxd.it/1Mxo
2024-09-09,Paddleton,2019,https://boxd.it/j4YQ
2025-02-20,Can of Worms,1999,https://boxd.it/2T6w
2025-02-21,It Could Happen to You,1994,https://boxd.it/1VHC
2025-03-06,The Big Up,2020,https://boxd.it/ACso
2025-03-06,Demon Clown,2017,https://boxd.it/Gf0y
2025-06-26,Zübük,1980,https://boxd.it/4WnY
2025-06-28,Murder by Death,1976,https://boxd.it/228k
2025-07-07,Time Masters,1982,https://boxd.it/1Atu
2025-07-31,Fixed,2025,https://boxd.it/jBc6
2025-08-06,Tuck Everlasting,2002,https://boxd.it/1Psm
2025-08-27,Caught Stealing,2025,https://boxd.it/LnyS
2025-08-28,Ticket of No Return,1979,https://boxd.it/3B9Y
2025-09-30,Tim Travers and the Time Traveler's Paradox,2024,https://boxd.it/Ne4o
2025-10-10,Friendship,2024,https://boxd.it/L6Dc
2025-10-10,Bamboozled,2000,https://boxd.it/1xfa
2025-10-13,The Battle of Algiers,1966,https://boxd.it/1IRY
2025-10-15,The Baltimorons,2025,https://boxd.it/SBYa
2025-11-02,The Long Walk,2025,https://boxd.it/mic8
2025-12-15,Sentimental Value,2025,https://boxd.it/GwcG
2025-12-26,A Real Pain,2024,https://boxd.it/CjNG
2026-01-23,The Chronology of Water,2025,https://boxd.it/j3pq
2026-01-31,Vampire Zombies...from Space!,2024,https://boxd.it/Ix3k
2026-09-10,July Rain,1967,https://boxd.it/3yHe
